product_name,id,rating,message,date,timestamp,variant,is_anonymous,username,total_likes,has_image,has_video,seller_reply
Produk Viral Di Tiktok Pose Cloud Bounce Cat Paw Sandal Anti Selip Nyaman Elastis Materi Eva Cocok Untuk Aktivitas Di Dalam Dan Luar Unisex Home Living 2025 5819,2109896432,5,pengiriman cepat barang sesuai. terima kasih gan,1779355636,Hari ini,Abu-abu - 42-43 fit 26.5cm foot,True,Anonymous,0,False,False,
Produk Viral Di Tiktok Pose Cloud Bounce Cat Paw Sandal Anti Selip Nyaman Elastis Materi Eva Cocok Untuk Aktivitas Di Dalam Dan Luar Unisex Home Living 2025 5819,2109071590,5,Baunya enak banget,1779327596,Hari ini,Hitam - 40-41 fit 25.5cm foot,True,Anonymous,0,True,False,
Produk Viral Di Tiktok Pose Cloud Bounce Cat Paw Sandal Anti Selip Nyaman Elastis Materi Eva Cocok Untuk Aktivitas Di Dalam Dan Luar Unisex Home Living 2025 5819,2102084106,5,ukuran pas dan barang cepat sampai... mantaplah👍,1778980992,4 hari lalu,Hitam - 42-43 fit 26.5cm foot,True,Anonymous,0,False,False,
Produk Viral Di Tiktok Pose Cloud Bounce Cat Paw Sandal Anti Selip Nyaman Elastis Materi Eva Cocok Untuk Aktivitas Di Dalam Dan Luar Unisex Home Living 2025 5819,2102043668,4,"Bentuk dan ukuran: kegedean dikit tapi it’s okey
Daya tahan pakai: nyaman dan empuk",1778978238,4 hari lalu,Klasik Hitam - 42-43 fit 26.5cm foot,True,Anonymous,0,False,False,
Produk Viral Di Tiktok Pose Cloud Bounce Cat Paw Sandal Anti Selip Nyaman Elastis Materi Eva Cocok Untuk Aktivitas Di Dalam Dan Luar Unisex Home Living 2025 5819,2099304015,3,salah ukuran. biasa aja,1778822070,6 hari lalu,Hitam - 35-36 fit 22.5cm foot,True,Anonymous,0,False,False,
Produk Viral Di Tiktok Pose Cloud Bounce Cat Paw Sandal Anti Selip Nyaman Elastis Materi Eva Cocok Untuk Aktivitas Di Dalam Dan Luar Unisex Home Living 2025 5819,2095062355,5,"barang bagus, anti slip, cm memang agak kegedean 1 size, saran kalau mau beli turun 1 ukuran. 
Respon seller cepat, rekomen seller.",1778604058,1 minggu lalu,Klasik Abu-abu - 44-45 fit 27.5cm foot,False,hendra,0,False,False,
Produk Viral Di Tiktok Pose Cloud Bounce Cat Paw Sandal Anti Selip Nyaman Elastis Materi Eva Cocok Untuk Aktivitas Di Dalam Dan Luar Unisex Home Living 2025 5819,2093478387,5,"Pesanan sesuai Deskripsi,brg sdh terima baik ,pelayanan dan pengiriman cepat,trims🙏.",1778525826,1 minggu lalu,Klasik Abu-abu - 37-38 fit 23.5cm foot,True,Anonymous,0,True,True,
Produk Viral Di Tiktok Pose Cloud Bounce Cat Paw Sandal Anti Selip Nyaman Elastis Materi Eva Cocok Untuk Aktivitas Di Dalam Dan Luar Unisex Home Living 2025 5819,2091460922,5,Sendalnya enak dipakai dan pas 👍,1778421199,1 minggu lalu,Warna oatmeal - 37-38 fit 23.5cm foot,True,Anonymous,0,True,True,
Produk Viral Di Tiktok Pose Cloud Bounce Cat Paw Sandal Anti Selip Nyaman Elastis Materi Eva Cocok Untuk Aktivitas Di Dalam Dan Luar Unisex Home Living 2025 5819,2087635890,5,"Barang ori sesuai deskripsi
Ukuran sesuai
Pengiriman cepat
Packing aman",1778233341,1 minggu lalu,Klasik Hitam - 42-43 fit 26.5cm foot,False,Oecil,0,True,False,
Produk Viral Di Tiktok Pose Cloud Bounce Cat Paw Sandal Anti Selip Nyaman Elastis Materi Eva Cocok Untuk Aktivitas Di Dalam Dan Luar Unisex Home Living 2025 5819,2087193801,5,"Bentuk dan ukuran: Pas
Sendalnya nyaman di pake, empuk",1778218247,1 minggu lalu,Klasik Hitam - 35-36 fit 22.5cm foot,True,Anonymous,0,False,False,
