product_name,id,rating,message,date,timestamp,variant,is_anonymous,username,total_likes,has_image,has_video,seller_reply,message_normalized,message_clean,tokens
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2060155355,4,"Manfaat produk: Mencerahkan, Jenis kulit: Berjerawat",1776894182,1 hari lalu,Default,True,Anonymous,0,False,False,,manfaat produk mencerahkan jenis kulit berjerawat,manfaat produk mencerahkan jenis kulit berjerawat,"['manfaat', 'produk', 'mencerahkan', 'jenis', 'kulit', 'berjerawat']"
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2060048871,5,bagus sekali,1776873845,1 hari lalu,Default,True,Anonymous,0,False,False,,bagus sekali,bagus sekali,"['bagus', 'sekali']"
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2059954836,3,Baik,1776868368,1 hari lalu,Default,True,Anonymous,0,False,False,,baik,baik,['baik']
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2058988517,5,Bahan: Bagus Manfaat produk: Buat muka Jenis kulit: Untuk semua,1776837181,1 hari lalu,Default,True,Anonymous,0,True,False,,bahan bagus manfaat produk buat muka jenis kulit untuk semua,bahan bagus manfaat produk buat muka jenis kulit semua,"['bahan', 'bagus', 'manfaat', 'produk', 'buat', 'muka', 'jenis', 'kulit', 'semua']"
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2058792749,5,Blom d coba . Klk cocok blek lgi CO 👍🩷,1776831259,1 hari lalu,Default,True,Anonymous,0,False,False,,blom d coba klk cocok blek lgi co,blom d coba klk cocok blek lgi co,"['blom', 'd', 'coba', 'klk', 'cocok', 'blek', 'lgi', 'co']"
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2058747186,5,Bagus,1776829892,1 hari lalu,Default,True,Anonymous,0,False,False,,bagus,bagus,['bagus']
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2058394965,5,Manfaat produk: Mencerahkan kulit wajah,1776815298,2 hari lalu,Default,True,Anonymous,0,False,False,,manfaat produk mencerahkan kulit wajah,manfaat produk mencerahkan kulit wajah,"['manfaat', 'produk', 'mencerahkan', 'kulit', 'wajah']"
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2058213738,5,Baru pertama kali nyobain semoga cocok nnti bakal beli lg klu cocok... Dpt gretong red jelly 1.maacih kkaakkkk,1776786783,2 hari lalu,Default,True,Anonymous,0,True,False,,baru pertama kali nyobain semoga cocok nnti bakal beli lg klu cocok dpt gretong red jelly 1 maacih kkaakkkk,baru pertama kali nyobain semoga cocok nnti bakal beli lg klu cocok dpt gretong red jelly 1 maacih kkaakkkk,"['baru', 'pertama', 'kali', 'nyobain', 'semoga', 'cocok', 'nnti', 'bakal', 'beli', 'lg', 'klu', 'cocok', 'dpt', 'gretong', 'red', 'jelly', '1', 'maacih', 'kkaakkkk']"
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2057271949,5,Bagus syuka,1776753107,2 hari lalu,Default,True,Anonymous,0,False,False,,bagus syuka,bagus syuka,"['bagus', 'syuka']"
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2057078886,5,Bahan: aman Manfaat produk: Bisa mencerahkan dan menghilangkan bekas jerawat masyaallah udah sampai barang nya pengiriman cepat barang sangat baik alhamdulillah udah abis 3 pkt di aku alhamdulillah udah byk perubahan sejak aku pakai produkxbeauty ini alhamdulillah banget beli di toko ini di jamin asli aku selalu beli di 🥰,1776745425,2 hari lalu,Default,True,Anonymous,0,True,False,,bahan aman manfaat produk bisa mencerahkan dan menghilangkan bekas jerawat masyaallah udah sampai barang nya pengiriman cepat barang sangat baik alhamdulillah udah abis 3 pkt di aku alhamdulillah udah byk perubahan sejak aku pakai produkxbeauty ini alhamdulillah banget beli di toko ini di jamin asli aku selalu beli di,bahan aman manfaat produk mencerahkan menghilangkan bekas jerawat masyaallah udah barang pengiriman cepat barang sangat baik alhamdulillah udah abis 3 pkt aku alhamdulillah udah byk perubahan sejak aku pakai produkxbeauty alhamdulillah banget beli toko jamin asli aku selalu beli di,"['bahan', 'aman', 'manfaat', 'produk', 'mencerahkan', 'menghilangkan', 'bekas', 'jerawat', 'masyaallah', 'udah', 'barang', 'pengiriman', 'cepat', 'barang', 'sangat', 'baik', 'alhamdulillah', 'udah', 'abis', '3', 'pkt', 'aku', 'alhamdulillah', 'udah', 'byk', 'perubahan', 'sejak', 'aku', 'pakai', 'produkxbeauty', 'alhamdulillah', 'banget', 'beli', 'toko', 'jamin', 'asli', 'aku', 'selalu', 'beli', 'di']"
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2056771444,4,Bahan: Lembut ringan Manfaat produk: Mencerahkan Jenis kulit: Normal oily,1776733526,2 hari lalu,Default,True,Anonymous,0,True,False,,bahan lembut ringan manfaat produk mencerahkan jenis kulit normal oily,bahan lembut ringan manfaat produk mencerahkan jenis kulit normal oily,"['bahan', 'lembut', 'ringan', 'manfaat', 'produk', 'mencerahkan', 'jenis', 'kulit', 'normal', 'oily']"
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2056201433,4,Tutup serumnya gak rapat jadi banyak yang tumpah keluar.,1776686081,3 hari lalu,Default,True,Anonymous,0,False,False,,tutup serumnya gak rapat jadi banyak yang tumpah keluar,tutup serumnya gak rapat jadi banyak tumpah keluar,"['tutup', 'serumnya', 'gak', 'rapat', 'jadi', 'banyak', 'tumpah', 'keluar']"
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2056196584,5,Alhamdulillah ada perubahan make 3 hari 😍❤️,1776685909,3 hari lalu,Default,True,Anonymous,0,False,False,,alhamdulillah ada perubahan make 3 hari,alhamdulillah perubahan make 3 hari,"['alhamdulillah', 'perubahan', 'make', '3', 'hari']"
